loci,loci_ampl_rate_Total,loci_ampl_rate_Municipality.2,loci_ampl_rate_Municipality.1,loci_ampl_rate_Municipality.3,loci_ampl_rate_Municipality.4,loci_ampl_rate_Municipality.5
PF3D7_0501800,0.913076923076923,0.890756302521008,0.91768826619965,0.948198198198198,0.944444444444444,0.448275862068966
PF3D7_0503200,0.876153846153846,0.865546218487395,0.865148861646235,0.932432432432432,0.944444444444444,0.275862068965517
PF3D7_0504400,0.925384615384615,0.88235294117647,0.929947460595447,0.975225225225225,0.944444444444444,0.413793103448276
P38,0.803846153846154,0.789915966386555,0.802101576182137,0.851351351351351,0.944444444444444,0.137931034482759
PF3D7_0508900,0.76,0.789915966386555,0.802101576182137,0.727477477477477,0.944444444444444,0.0689655172413793
PF3D7_0519300,0.91,0.878151260504202,0.901926444833625,0.963963963963964,0.944444444444444,0.482758620689655
PfMDR1_1,0.777692307692308,0.735294117647059,0.791593695271454,0.828828828828829,0.833333333333333,0.0344827586206896
PfMDR1_3,0.873846153846154,0.84453781512605,0.870402802101576,0.936936936936937,0.944444444444444,0.172413793103448
PF3D7_0525100,0.898461538461538,0.873949579831933,0.893169877408056,0.957207207207207,0.944444444444444,0.275862068965517
PF3D7_0612900,0.916153846153846,0.88655462184874,0.910683012259194,0.968468468468468,0.944444444444444,0.448275862068966
PF3D7_0615900,0.870769230769231,0.848739495798319,0.879159369527145,0.907657657657658,0.888888888888889,0.310344827586207
MSP10,0.905384615384615,0.88655462184874,0.89492119089317,0.966216216216216,0.944444444444444,0.310344827586207
CS,0.860769230769231,0.84453781512605,0.866900175131349,0.896396396396396,0.944444444444444,0.275862068965517
PF3D7_0630600,0.932307692307692,0.903361344537815,0.93169877408056,0.972972972972973,0.944444444444444,0.551724137931034
RAMA,0.918461538461538,0.88235294117647,0.912434325744308,0.977477477477477,0.944444444444444,0.413793103448276
PF3D7_0710400,0.709230769230769,0.785714285714286,0.78984238178634,0.59009009009009,0.888888888888889,0.206896551724138
PF3D7_0711500,0.653076923076923,0.554621848739496,0.733800350262697,0.646396396396396,0.5,0.0689655172413793
PF3D7_0716300,0.93,0.894957983193277,0.933450087565674,0.966216216216216,0.944444444444444,0.586206896551724
PF3D7_0724700,0.868461538461538,0.84453781512605,0.856392294220666,0.934684684684685,0.944444444444444,0.241379310344828
PF3D7_0728200,0.906923076923077,0.873949579831933,0.901926444833625,0.963963963963964,0.944444444444444,0.379310344827586
PF3D7_0729700,0.82,0.84453781512605,0.84938704028021,0.801801801801802,0.944444444444444,0.241379310344828
PF3D7_0802000,0.880769230769231,0.861344537815126,0.870402802101576,0.941441441441441,0.944444444444444,0.275862068965517
PF3D7_0806200,0.931538461538462,0.88655462184874,0.935201401050788,0.977477477477477,0.944444444444444,0.517241379310345
PF3D7_0806300,0.904615384615385,0.873949579831933,0.901926444833625,0.961711711711712,0.944444444444444,0.310344827586207
PF3D7_0807800,0.929230769230769,0.899159663865546,0.936952714535902,0.961711711711712,0.944444444444444,0.517241379310345
PF3D7_0809400,0.856923076923077,0.852941176470588,0.852889667250438,0.912162162162162,0.888888888888889,0.103448275862069
PfDHPS_2,0.833846153846154,0.810924369747899,0.821366024518389,0.905405405405405,0.888888888888889,0.137931034482759
PfDHPS_1,0.845384615384615,0.823529411764706,0.840630472854641,0.90990990990991,0.888888888888889,0.103448275862069
